Level,Compound conjunctions,Participle clauses,Gerund clauses,Relative clauses,Infinitive clauses,Subordinate clauses,Coordinate clauses,Maximum nesting depth,Depths 1-3,Sentence length,Adverbial clause modifiers,Clausal complements,Avrgwordleng,TTR (100)
1,0,0,0,0,3.125,18.75,15.625,3,99.009900990099,9.33333333333333,0.15625,5.26315789473684,4.1938775510204,0.612577319587628
1,0,2.08333333333333,0,2.08333333333333,4.16666666666667,25,18.75,6,86.3777089783282,10.8148148148148,0.104166666666667,1.28205128205128,4.51505016722408,0.74936842105263
2,0,0,0,3.7037037037037,22.2222222222222,37.037037037037,11.1111111111111,4,93.5483870967742,8.71428571428571,0.185185185185185,0,4.63934426229508,0.666521739130434
2,1.09289617486339,3.33333333333333,0,3.33333333333333,16.6666666666667,36.6666666666667,13.3333333333333,4,90.2564102564103,12.2,0.166666666666667,18.1818181818182,4.28961748633879,0.707619047619047
2,0.191570881226054,1.88679245283019,2.83018867924528,1.88679245283019,11.3207547169811,32.0754716981132,15.0943396226415,7,77.3584905660377,9.32142857142857,0.0471698113207547,16.6666666666667,4.20715630885122,0.675899772209564
2,0,0,0,4.76190476190476,9.52380952380952,23.8095238095238,9.52380952380952,3,99.0654205607477,7.21428571428571,0.238095238095238,0,5.04950495049504,0.76
2,0.617283950617284,0,0,0,12.5,37.5,16.6666666666667,6,78.2608695652174,14.7272727272727,0.208333333333333,1.78571428571429,4.65432098765432,0.78968253968254
2,0.512820512820513,0,0,0,6.12244897959184,22.4489795918367,20.4081632653061,4,97.6851851851852,6.96428571428571,0.102040816326531,3.125,4.54358974358974,0.769270833333333
2,0,0,0,1.88679245283019,11.3207547169811,37.7358490566038,13.2075471698113,7,81.2987012987013,14.1153846153846,0.0943396226415094,4.16666666666667,4.64032697547683,0.678694029850745
2,0.980392156862745,2.77777777777778,0,5.55555555555556,11.1111111111111,36.1111111111111,13.8888888888889,7,75.3799392097264,17,0.138888888888889,0,4.87908496732026,0.707487922705314
2,0,0,0,6.06060606060606,6.06060606060606,27.2727272727273,21.2121212121212,5,92.258064516129,8.23529411764706,0.151515151515152,0,4.66666666666666,0.623658536585365
2,0,0,0,0,16.6666666666667,20.8333333333333,4.16666666666667,4,96.2121212121212,6.77777777777778,0.208333333333333,0,4.47540983606557,0.807391304347826
2,0,0,0,0,16.6666666666667,25,12.5,4,93.7984496124031,8.33333333333333,0.208333333333333,0,4.432,0.652307692307692
2,0,0,0,0,10.5263157894737,31.5789473684211,21.0526315789474,4,88.3561643835617,15,0.263157894736842,0,4.79259259259259,0.708611111111111
2,0,0,0,0,15.625,34.375,21.875,4,93.6708860759494,10.1428571428571,0.15625,9.52380952380952,4.59154929577464,0.749767441860465
2,0,0,0,0,36.8421052631579,36.8421052631579,0,8,80.8,9.83333333333333,0.263157894736842,0,4.55084745762711,0.581578947368421
2,0,0,0,4.34782608695652,13.0434782608696,30.4347826086957,17.3913043478261,5,89.7260273972603,11.9166666666667,0.217391304347826,0,4.71328671328671,0.632727272727272
2,0,0,3.84615384615385,3.84615384615385,15.3846153846154,42.3076923076923,3.84615384615385,4,96.7213114754098,8.5,0.192307692307692,0,5.05882352941176,0.7325
2,0,0,0,0,14.2857142857143,21.4285714285714,7.14285714285714,4,91.5094339622642,9.9,0.357142857142857,0,4.69696969696969,0.659999999999998
2,0,0,3.84615384615385,3.84615384615385,15.3846153846154,34.6153846153846,7.69230769230769,5,79.0960451977401,10.7333333333333,0.192307692307692,0,4.90123456790123,0.776349206349207
2,0.253164556962025,1.81818181818182,1.81818181818182,5.45454545454545,7.27272727272727,30.9090909090909,21.8181818181818,6,77.3892773892774,15.1923076923077,0.0909090909090909,3.03030303030303,5.17215189873417,0.799593220338983
2,0,0,0,5.35714285714286,8.92857142857143,33.9285714285714,19.6428571428571,4,96.2809917355372,8.73076923076923,0.0892857142857143,0,4.43421052631578,0.742421875
2,0,0,0,0,23.8095238095238,33.3333333333333,19.047619047619,6,81.1023622047244,11.6,0.238095238095238,0,4.44827586206896,0.685294117647058
2,0,3.44827586206897,6.89655172413793,0,6.89655172413793,37.9310344827586,10.3448275862069,7,75.4166666666667,14.1333333333333,0.172413793103448,5.17241379310345,4.52073732718894,0.785486725663717
2,0,0,0,10.8108108108108,10.8108108108108,35.1351351351351,13.5135135135135,7,75.6849315068493,14.2631578947368,0.135135135135135,5.55555555555556,4.42435424354243,0.757906976744185
2,0,0,0,1.66666666666667,13.3333333333333,36.6666666666667,25,5,90.273556231003,13.4782608695652,0.0833333333333333,0,4.51602564102564,0.71563981042654
2,0.806451612903226,0,0,0,6.25,25,6.25,4,95,11.2727272727273,0.3125,0,4.4758064516129,0.7125
2,1.33333333333333,0,0,0,11.7647058823529,11.7647058823529,17.6470588235294,5,78.4090909090909,6.25,0.294117647058824,0,4.59210526315789,0.5
2,0.444444444444444,0,0,5,7.5,25,22.5,6,91.9540229885058,10.7142857142857,0.125,16,4.14666666666666,0.601746031746031
3,0.149253731343284,4.41176470588235,0,1.47058823529412,9.55882352941176,33.8235294117647,21.3235294117647,6,88.2102272727273,10.9836065573771,0.0367647058823529,11.1111111111111,4.65871833084947,0.754545454545453
3,0.560224089635854,0,0,1.92307692307692,11.5384615384615,30.7692307692308,19.2307692307692,7,84.9350649350649,13.7307692307692,0.0961538461538462,5,4.45098039215686,0.772607003891051
3,0,0,0,0,26.6666666666667,26.6666666666667,0,7,70.6586826347305,14.1818181818182,0.333333333333333,0,4.71974522292993,0.737017543859649
3,0.507614213197969,0,0,7.04225352112676,14.0845070422535,36.6197183098592,19.7183098591549,6,81.9004524886878,12.7096774193548,0.0704225352112676,1.81818181818182,4.62690355329949,0.721924398625428
